STT;NAME;BOSS;REGION;BRANCH;HP;Index HP;Speed;Index Speed;Def;COIN;LEVEL;Direction;State;Time Frame;Frame Event;Scale;EXP
1;Amy;NO;LAND;FIRE;49.6;0.2;17.84;0.4;0;2.1178;1;B-U-L-R;Idle-Left-Right-Up-Bottom-Attack-Die;0.1-0.1-0.1-0.1-0.1-0.1-0.1;Attack-4-9,Die-end,;100;70
11;Furi;NO;LAND;FIRE;71.2;0.65;19.28;0.8;0;3.4426;1;B-U-L-R;Idle-Left-Right-Up-Bottom-Attack-Die;0.1-0.1-0.1-0.1-0.1-0.1-0.1;Die-end,;100;10
12;Haki;NO;LAND;FIRE;78.4;0.8;18.56;0.6;0;3.8152;1;B-U-L-R;Idle-Left-Right-Up-Bottom-Attack-Die;0.1-0.1-0.1-0.1-0.1-0.1-0.1;Die-end,;100;10
15;Kukan;NO;LAND;FIRE;54.4;0.3;17.48;0.3;0;2.3731;1;B-U-L-R;Idle-Left-Right-Up-Bottom-Attack-Die;0.1-0.1-0.1-0.1-0.1-0.1-0.1;Die-end,;100;7
19;Orc Black;NO;LAND;FIRE;56.8;0.35;18.2;0.5;0;2.5525;1;B-U-L-R;Idle-Left-Right-Up-Bottom-Attack-Die;0.1-0.1-0.1-0.1-0.1-0.1-0.1;Die-end,;100;7
20;Red Bull;NO;LAND;FIRE;56.8;0.35;17.12;0.2;0;2.4904;1;B-U-L-R;Idle-Left-Right-Up-Bottom-Attack-Die;0.1-0.1-0.1-0.1-0.1-0.1-0.1;Die-end,;100;7
21;Scorpion;NO;LAND;FIRE;78.4;0.8;16.94;0.15;0;3.72205;1;B-U-L-R;Idle-Left-Right-Up-Bottom-Attack-Die;0.1-0.1-0.1-0.1-0.1-0.1-0.1;Die-end,;100;10
28;Wolf;NO;LAND;FIRE;44.8;0.1;16.76;0.1;0;1.7797;1;B-U-L-R;Idle-Left-Right-Up-Bottom-Attack-Die;0.1-0.1-0.1-0.1-0.1-0.1-0.1;Die-end,;100;7
4;Bee;NO;AIR;FIRE;180.16;0.8;14.36;0.15;0;9.4249;2;B-U-L-R;Idle-Left-Right-Up-Bottom-Attack-Die;0.1-0.1-0.1-0.1-0.1-0.1-0.1;Die-end,;100;15
18;Orc;NO;LAND;FIRE;111.04;0.2;15.2;0.5;1;8.9488;2;B-U-L-R;Idle-Left-Right-Up-Bottom-Attack-Die;0.1-0.1-0.1-0.1-0.1-0.1-0.1;Die-end,;100;12
23;Soki;NO;LAND;FIRE;122.56;0.3;15.44;0.6;0;6.175;2;B-U-L-R;Idle-Left-Right-Up-Bottom-Attack-Die;0.1-0.1-0.1-0.1-0.1-0.1-0.1;Die-end,;100;14
